date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:26:25	16963/16963	---M--	200	added ('OK')	image/jpeg	etag:W/%22PSA-wVjKIrAlZF%22	https://blog.walls.io/wp-content/uploads/sites/12/2017/07/7-Simple-Rules-to-Succeeding-on-Social-Media-Here%e2%80%99s-Your-One-Size-Fits-All-Social-Media-Marketing-Strategy--512x288.jpg	C:/My%20Web%20Sites/ht6/blog.walls.io/wp-content/uploads/sites/12/2017/07/7-Simple-Rules-to-Succeeding-on-Social-Media-Here%e2%80%99s-Your-One-Size-Fits-All-Social-Media-Marketing-Strategy--512x288.jpg	(from https://walls.io/)
13:26:25	16730/16730	---M--	200	added ('OK')	image/jpeg	etag:W/%22PSA-_wfVzLOKbP%22	https://blog.walls.io/wp-content/uploads/sites/12/2017/07/jake-thacker-113197-512x341.jpg	C:/My%20Web%20Sites/ht6/blog.walls.io/wp-content/uploads/sites/12/2017/07/jake-thacker-113197-512x341.jpg	(from https://walls.io/)
13:26:25	24762/24762	---M--	200	added ('OK')	image/jpeg	etag:W/%22PSA-aj-D6Oy2fqyDh%22	https://blog.walls.io/wp-content/uploads/sites/12/2017/07/wallsio-summer-update-2017-1-512x269.png	C:/My%20Web%20Sites/ht6/blog.walls.io/wp-content/uploads/sites/12/2017/07/wallsio-summer-update-2017-1-512x269.jpg	(from https://walls.io/)
13:26:26	200160/200160	---M--	200	added ('OK')	image/png	etag:W/%22PSA-V0vRUxHwEB%22	https://blog.walls.io/wp-content/uploads/sites/12/2017/06/Everything-You-Need-to-Know-about-Musical.ly-%e2%80%94-the-Trend-App-You-May-Not-Even-Have-Heard-of-Yet-512x269.png	C:/My%20Web%20Sites/ht6/blog.walls.io/wp-content/uploads/sites/12/2017/06/Everything-You-Need-to-Know-about-Musical.ly-%e2%80%94-the-Trend-App-You-May-Not-Even-Have-Heard-of-Yet-512x269.png	(from https://walls.io/)
13:26:27	210235/210235	---M--	200	added ('OK')	image/jpeg	etag:%2258b56144-3353b%22	https://walls.io/build/img/walls.io-showcase-ihatejeffsy.jpg	C:/My%20Web%20Sites/ht6/walls.io/build/img/walls.io-showcase-ihatejeffsy.jpg	(from https://walls.io/)
13:26:27	124309/124309	---M--	200	added ('OK')	image/jpeg	etag:%2258b56144-1e595%22	https://walls.io/build/img/walls.io-showcase-barcamps.jpg	C:/My%20Web%20Sites/ht6/walls.io/build/img/walls.io-showcase-barcamps.jpg	(from https://walls.io/)
13:26:27	21833/21833	---M--	200	added ('OK')	image/jpeg	etag:%2258b56144-5549%22	https://walls.io/build/img/Fabian-Ziemer-Walls.io-testimonial.jpg	C:/My%20Web%20Sites/ht6/walls.io/build/img/Fabian-Ziemer-Walls.io-testimonial.jpg	(from https://walls.io/)
13:26:28	10349/10349	---M--	200	added ('OK')	image/jpeg	etag:%2258da220a-286d%22	https://walls.io/build/img/alison_benney.jpg	C:/My%20Web%20Sites/ht6/walls.io/build/img/alison_benney.jpg	(from https://walls.io/)
13:26:28	29421/29421	---M--	200	added ('OK')	image/jpeg	etag:%2258b56144-72ed%22	https://walls.io/build/img/twitter-wall-code-background.jpg	C:/My%20Web%20Sites/ht6/walls.io/build/img/twitter-wall-code-background.jpg	(from https://walls.io/)
13:26:28	4032/4032	---M--	200	added ('OK')	image/jpeg	etag:%2258da220a-fc0%22	https://walls.io/build/img/walls.io-support-info-ray-singca.jpg	C:/My%20Web%20Sites/ht6/walls.io/build/img/walls.io-support-info-ray-singca.jpg	(from https://walls.io/)
13:26:31	156960/156960	---M--	200	added ('OK')	image/jpeg	etag:%2258b56144-26520%22	https://walls.io/build/img/walls.io-support-background.jpg	C:/My%20Web%20Sites/ht6/walls.io/build/img/walls.io-support-background.jpg	(from https://walls.io/)
13:26:37	65466/65466	---M--	200	added ('OK')	image/jpeg	etag:%2258b56144-ffba%22	https://walls.io/build/img/footer_bg.jpg	C:/My%20Web%20Sites/ht6/walls.io/build/img/footer_bg.jpg	(from https://walls.io/)
13:26:41	86351/86351	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/3.1.0/jquery.min.js	C:/My%20Web%20Sites/ht6/ajax.googleapis.com/ajax/libs/jquery/3.1.0/jquery.min.js	(from https://walls.io/)
13:26:41	394851/394851	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259918e46-60663%22	https://walls.io/build/js/vendor-7233d3a828420003beda6614d068f520.js	C:/My%20Web%20Sites/ht6/walls.io/build/js/vendor-7233d3a828420003beda6614d068f520.js	(from https://walls.io/)
13:26:41	20175/20175	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259918e46-4ecf%22	https://walls.io/build/js/app-aa302b8f98a850ea8cb95abf190e27d4.js	C:/My%20Web%20Sites/ht6/walls.io/build/js/app-aa302b8f98a850ea8cb95abf190e27d4.js	(from https://walls.io/)
13:26:44	534/534	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259918e46-216%22	https://walls.io/build/js/messages-en-c3b4348c2de9c5a452d274d4f2d569ce.js	C:/My%20Web%20Sites/ht6/walls.io/build/js/messages-en-c3b4348c2de9c5a452d274d4f2d569ce.js	(from https://walls.io/)
